Dog breeds,English name,summary,Origins,Lifetime,Weight range,Shoulder height range,Character key words,Precautions for feeding,Common health issues,Grouping,body shape,training,Hair shedding,Sports needs,Is it appropriate to get along with children
Saudi Hound,Saudi Hound,"The Saudi Arabian hound has a slender body and short fur, adapting to desert environments.",Saudi Arabia,12-16 years,18-25Kg,55-65cm,"Independent, agile, heat-resistant",1. 2 hours of light exercise per day; 2-Sun protection for the skin to prevent sunburn; 3 .Replenish enough water to prevent dehydration,"Skin sunburn, dehydration, hip dysplasia",hound,medium,2,1,4,Yes
Emirati Hound,Emirati Hound,"Emirates hound, desert hound, short fur, quick and heat-resistant.",United Arab Emirates,12-16 years,18-25Kg,55-65cm,"Smart, heat-resistant, loyal","1. Exercise for 2 hours a day and avoid high temperatures. 2-Regularly replenish water to protect the skin. 3 Positive training, standardizing behavior","Skin problems, dehydration, poor joint development",hound,medium,3,1,4,Yes
The Kuwait Hound,Kuwaiti Hound,"The Kuwait desert hound is slim, with short hair and a gentle and independent personality.",Kuwait,12-16 years,18-25Kg,55-65cm,"Docile, independent, heat-resistant","1. 2 hours of exercise daily, morning and evening; 2-Skin moisturizing and sun protection; 3 Low-salt diet to protect the kidneys","Skin sunburn, kidney problems, poor hip development",hound,medium,2,1,4,Yes
Qatari Hound,Qatari Hound,"Qatari hound, desert hound, short fur, lively and quick-witted personality.",Qatar,12-16 years,18-25Kg,55-65cm,"Lively, agile, heat-resistant","1. Exercise for 2 hours a day, avoiding midday; 2-Regularly clean the skin to prevent infection. 3 .Replenish electrolytes to prevent heatstroke","Heat stroke, skin infection, joint injury",hound,medium,3,1,4,Yes
Barinhound,Bahraini Hound,"Barinhound, desert hound, short coat, gentle and loyal character.",Bahrain,12-16 years,18-25Kg,55-65cm,"Docile, loyal, heat-resistant",1. 2 hours of light exercise per day; 2-Skin sun protection and moisturizing; 3 Regular diet to prevent gastrointestinal problems,"Skin sunburn, gastrointestinal sensitivity, and poor hip development",hound,medium,2,1,3,Yes
The Oman Hound,Omani Hound,"Oman desert hound, short coat, independent and agile personality, adaptable to the desert.",Oman,12-16 years,18-25Kg,55-65cm,"Independent, agile, heat-resistant","1. 2 hours of exercise daily, morning and evening; 2-Drink enough water to prevent dehydration. 3 Positive training, no obedience","Dehydration, skin problems, poor joint development",hound,medium,2,1,4,Yes
Yemeni Hound,Yemeni Hound,"Yemeni hound, desert hound, short fur, brave and quick-witted personality.",Yemen,12-16 years,18-25Kg,55-65cm,"Brave, sharp, heat-resistant","1. 2.5 hours of exercise per day; 2. Sun protection for the skin to prevent damage; 3 Strict training, standard behavior","Skin sunburn, hip dysplasia, heat stroke",hound,medium,3,1,5,Yes
Indian Hound,Indian Hound,"An ancient Indian hunting dog with a slender body, short fur, and agile and gentle character.",India,12-15 years,18-25Kg,55-65cm,"Agile, docile, loyal",1. 2 hours of running every day; 2-Brush the coat once a week. 3. Adapt to high temperatures and prevent heatstroke,"hip dysplasia, heat stroke, eye disease",hound,medium,3,2,5,Yes
The Pakistan Hound,Pakistani Hound,"Pakistan hound, slim, short-haired, independent and brave.",Pakistan,12-15 years,18-25Kg,55-65cm,"Independent, brave, agile","1. 2 hours of exercise per day; 2-Keep warm in winter and prevent heatstroke in summer. 3 Professional training, control instincts","hip dysplasia, skin problems, heat stroke",hound,medium,2,2,5,Yes
Bengalhound,Bengal Hound,"Bengal hounds, slender in size, short fur, lively and agile in character.",Bangladesh,12-15 years,18-25Kg,55-65cm,"Lively, sharp, loyal",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Focus on social training and adapt to the family,"hip dysplasia, patellar dislocation, skin allergies",hound,medium,3,2,5,Yes
Burmese Hound,Burmese Hound,"Burmese hound, medium-sized, short-haired, gentle and loyal.",Myanmar,12-15 years,18-25Kg,50-58cm,"Docile, loyal, lively","1. 1.5 hours of exercise per day; 2-Brush the coat once a week. 3. Eat light, prevent tear stains","Poor hip development, eye disease, gastrointestinal sensitivity",hound,medium,3,2,4,Yes
Thai Hound,Thai Hound,"The ancient Thai hunting dog has a short coat and a gentle and agile personality, suitable for family breeding.",Thailand,12-15 years,15-20Kg,48-55cm,"Docile, smart, loyal","1. 1.5 hours of exercise per day; 2-Brush the coat once a week. 3. Adapt to tropical climate, heatstroke prevention and cooling","hip dysplasia, heat stroke, skin allergies",hound,medium,3,2,4,Yes
Malaysian Hound,Malaysian Hound,"Malaysian hound, short fur, lively and heat-resistant, adaptable to rainforest environments.",Malaysia,12-15 years,15-20Kg,48-55cm,"Lively, heat-resistant, loyal","1. Exercise for 1.5 hours a day and avoid high temperatures. 2-Regular deworming to prevent parasites. 3. Food moisture-proof, prevent spoilage","Parasitic infections, heatstroke, gastrointestinal problems",hound,medium,3,2,4,Yes
Singapore Hound,Singapore Hound,"The Singaporean small hunting dog has a short coat and a gentle and agile personality, suitable for urban breeding.",Singapore,12-15 years,8-12Kg,35-42cm,"Docile, clever, lively","1. 1 hour of exercise per day; 2-Brush the coat once a week. 3 Focus on training, correcting love calls","Patellar dislocation, eye disease, gastrointestinal sensitivity",hound,small,4,2,3,Yes
Indonesian Hound,Indonesian Hound,"Indonesian hound, short fur, lively and agile personality, adapted to tropical environments.",Indonesia,12-15 years,15-20Kg,48-55cm,"Lively, agile, heat-resistant",1. 1.5 hours of exercise per day; 2-Regular deworming to prevent skin diseases; 3 .Replenish sufficient water,"Skin disease, heat stroke, hip dysplasia",hound,medium,3,2,4,Yes
Philippine Hound,Philippine Hound,"The Philippine Hound has a short coat and a gentle and loyal personality, suitable for family breeding.",The Philippines,12-15 years,15-20Kg,48-55cm,"Docile, loyal, lively",1. 1.5 hours of exercise per day; 2-Brush the coat once a week. 3 Regularly clean the ear canal to prevent infection,"hip dysplasia, ear infections, skin allergies",hound,medium,3,2,4,Yes
Australian Wild Dogs,Dingo,"Australian native wild dog, with short fur, independent and fierce personality, is a wild dog breed.",Australia,12-15 years,10-20Kg,44-63cm,"independent, fierce, and clever","1. Private breeding is prohibited and belongs to the protected dog breed. 2-Survival in the wild, not suitable for families; 3 The hunting instinct is very strong and aggressive","hip dysplasia, wild injuries, parasitic infections",hound,medium,1,2,5,No
New Guinea Singing Dog,New Guinea Singing Dog,"Ancient breed of dog in New Guinea, with a unique call, independent and agile personality, a wild breed.",New Guinea,12-16 years,9-14Kg,35-45cm,"Independent, smart, unique","1. Private breeding is prohibited, and rare dog breeds are protected. 2-Living in groups in the wild, not suitable for families; 3. sensitive personality, no artificial domestication","hip dysplasia, wild injuries, parasitic infections",NON-sporting,small,1,2,4,No
African Wild Dogs,African Wild Dog,"African wild dog breed, with colorful coats, living in groups, fierce character, and strong hunting ability.",Africa,10-12 years,18-36Kg,60-75cm,"Fierce, sociable, clever","1. Wild animals are prohibited from being kept; 2-Endangered protected animals, protected by law; 3 Strong aggressiveness, not suitable for domestication","Wild injuries, infectious diseases, habitat destruction",hound,large,1,3,5,No
Australian Bulldog (blue),Australian Cattle Dog (Blue),"The blue variant of the Australian Bulldog has a blue-gray fur, a tough personality, and is good at driving herds.",Australia,12-16 years,15-22Kg,43-51cm,"Tough, smart, alert",1.-2.5 hours of high-intensity exercise per day; 2-Obedience training from an early age to avoid biting the heels. 3. Regular hearing check to prevent hearing loss,"hip dysplasia, progressive retinal atrophy, deafness",herding,medium,4,2,5,Yes
Australian Bulldog (red),Australian Cattle Dog (Red),The red fur variant has a similar personality to the blue variant and is more lively.,Australia,12-16 years,15-22Kg,43-51cm,"Lively, loyal, agile",1. Provide intellectual toys to prevent boredom from dismantling homes; 2-Brush short coats once a week. 3 Avoid being alone for long periods of time to prevent anxiety,"hip dysplasia, cataracts, skin allergies",herding,medium,4,2,5,Yes
Australian Kalby Dog,Australian Kelpie,"Australian Shepherds, medium-sized, short fur, intelligent and agile personality, are top-notch sheepdogs.",Australia,12-15 years,11-20Kg,41-51cm,"Smart, quick, loyal","1. 3 hours of exercise per day, suitable for sheep herding training; 2-Brush the coat once a week. 3 Focus on intellectual training and give full play to talents","hip dysplasia, eye disease, thyroid disease",herding,medium,5,2,5,Yes
New Zealand sheepdog,New Zealand Heading Dog,"The sheepdog bred in New Zealand is of medium size, intelligent in character, and good at driving sheep.",New Zealand,12-15 years,14-20Kg,43-56cm,"Smart, loyal, quick","1. 2. 5 hours of exercise per day; 2-Brush the coat once a week. 3 Early socialization, adaptation to the family","hip dysplasia, patellar dislocation, eye disease",herding,medium,5,2,5,Yes
Welsh Corgi (Cardigan),Cardigan Welsh Corgi,"The original Corgi species has a long tail, slightly larger body size, and a more stable personality.",Wales,12-15 years,11-17Kg,25-33cm,"Steady, loyal, smart",1. Exercise for 1.5 hours a day and avoid climbing stairs. 2-Control weight and protect the lumbar spine. 3 Regularly check the spinal cord to prevent degenerative diseases,"Degenerative myelopathy, hip dysplasia, eye diseases",herding,medium,4,3,3,Yes
Pembroke Welsh Corgi (Tricolor),Pembroke Welsh Corgi (Tricolor),"The tricolor corgi is a lively and family-like character, and is the most popular variant of the corgi.",Wales,12-15 years,10-14Kg,25-30cm,"Lively, family, smart",1. Exercise for 1.5 hours a day to avoid obesity; 2-Brush the coat twice a week. 3 Use positive motivation during training,"hip dysplasia, degenerative myelopathy, obesity",herding,medium,4,3,3,Yes
Pembroke Welsh Corgi (red and white),Pembroke Welsh Corgi (Red & White),"Red and white fur corgi, gentle and clingy personality, suitable for family breeding.",Wales,12-15 years,10-14Kg,25-30cm,"Docile, clingy, lively",1. Avoid high-altitude jumps and protect joints; 2-Regularly brushing teeth to prevent periodontal disease. 3. Provide a comfortable rest environment,"Poor hip development, eye disease, heart problems",herding,medium,4,3,3,Yes
Icelandic sheepdog,Icelandic Sheepdog,"The only native breed of dog in Iceland, with a medium size, dense fur, and a lively and friendly personality.",Iceland,12-16 years,9-14Kg,33-41cm,"Lively, family, loyal",1. 1.5 hours of exercise per day; 2-Brush the thick coat three times a week. 3. Adapt to the cold and prevent heatstroke in summer,"hip dysplasia, cataracts, thyroid disease",herding,small,4,4,3,Yes
Finnish laphound,Finnish Lapphund,"Finnish sheepdogs have thick fur, gentle temperament, and are good at herding reindeer.",Finland,12-15 years,15-24Kg,41-52cm,"Docile, lively, loyal",1. 2 hours of exercise per day; 2-Brush the coat three times a week. 3 Focus on social training and avoid being timid,"hip dysplasia, progressive retinal atrophy, epilepsy",herding,medium,4,4,4,Yes
Swedish Rapp Hound,Swedish Lapphund,"Swedish Shepherd, similar to the Finnish laphound, with slightly shorter fur and more alert personality.",Sweden,12-15 years,15-23Kg,40-51cm,"Vigilance, intelligence, loyalty","1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Early socialization, adaptation to strangers","hip dysplasia, eye diseases, skin allergies",herding,medium,4,3,4,Yes
Norwegian Buhad Dog,Norwegian Buhund,"Norwegian Shepherd, medium-sized, coarse and hard fur, lively and brave personality.",Norway,12-15 years,12-18Kg,41-46cm,"Lively, brave, loyal",1. 2 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 .Strict training to avoid over-guarding,"hip dysplasia, cataracts, thyroid disease",herding,medium,4,3,4,Yes
Polish lowland sheepdog,Polish Lowland Sheepdog,"Polish sheepdog, with long and curly fur, intelligent and gentle personality.",Poland,12-15 years,14-16Kg,41-51cm,"Smart, docile, loyal",1. 2 hours of exercise per day; 2-Brush the curled coat 4 times a week. 3 Regularly trim hair to prevent knotting,"hip dysplasia, eye disease, skin fungal infection",herding,medium,4,5,4,Yes
Portuguese sheepdog,Portuguese Sheepdog,"Portuguese Shepherd, with long and disheveled fur, lively and intelligent personality.",Portugal,12-15 years,12-18Kg,41-56cm,"Lively, smart, family",1. 2 hours of exercise per day; 2-Brush the coat three times a week. 3 Give enough attention to avoid boredom,"hip dysplasia, cataracts, thyroid disease",herding,medium,4,4,4,Yes
Spanish sheepdog,Spanish Water Dog,"Spanish water dog, with curly fur, is good at swimming and shepherding, and has a lively personality.",Spain,12-14 years,14-20Kg,40-50cm,"Lively, smart, loyal","1. 2 hours of exercise daily, including swimming; 2-Regularly trim the curled coat; 3 Use a positive approach in training","hip dysplasia, cataracts, skin allergies",herding,medium,4,3,5,Yes
Catalan sheepdog,Catalan Sheepdog,"Spanish Catalan Shepherd, with long and coarse fur, and a brave and intelligent personality.",Spain,12-14 years,17-20Kg,45-55cm,"Brave, smart, loyal","1. 2.5 hours of exercise per day; 2-Brush the coat three times a week. 3 Early socialization, adaptation to the family","hip dysplasia, eye diseases, skin problems",herding,medium,4,4,5,Yes
Marley sheepdog,Maremma Sheepdog,"Italian large sheepdog, with thick white fur, calm and protective nature, guarding the sheep.",Italy,10-13 years,35-45Kg,60-73cm,"Steady, Protector, Loyalty","1. 1.5 hours of exercise per day; 2-Brush the white coat three times a week. 3 Large space for breeding, not suitable for apartment","Poor hip joint development, poor elbow development, gastric torsion",working,large,2,5,3,No
Kuvaz dog,Kuvasz,"Hungarian large guard dog with white fur, brave and loyal personality, guarding livestock.",Hungary,10-12 years,30-52Kg,66-76cm,"Brave, loyal, vigilant",1. 2 hours of exercise per day; 2-Brush the coat three times a week. 3 Strict training to establish obedience,"hip dysplasia, elbow dysplasia, thyroid disease",working,large,3,4,4,No
Big Pyrenees,Great Pyrenees,"The French large sheepdog has a dense white coat and a gentle and protective nature, making it an excellent guard dog.",France,10-12 years,38-54Kg,63-81cm,"Docile, protective, calm","1. 1.5 hours of exercise per day; 2-Brush the thick coat 4 times a week. 3 May bark at night, need training","Poor hip development, poor elbow development, skin problems",working,large,2,5,3,Yes
Bourne Mountain Dog (Tricolor),Bernese Mountain Dog,"Swiss large dog with black, brown, and white coat, gentle and friendly personality, is an excellent family companion dog.",Switzerland,6-Eight years,36-50Kg,58-70cm,"Docile, family, loyal","1. Exercise for 1.5 hours a day, avoid strenuous exercise; 2-Brush the coat three times a week. 3. Regularly check for cancer, which is a high incidence","hip dysplasia, elbow dysplasia, cancer",working,large,4,3,4,Yes
Appenzell Mountain Dog,Appenzeller Sennenhund,"Swiss mountain dog, medium-sized, short fur, lively and brave personality.",Switzerland,12-14 years,22-32Kg,50-58cm,"Lively, brave, loyal",1. 2 hours of exercise per day; 2-Brush the coat once a week. 3. Emphasize obedience training and standardize behavior,"Poor hip joint development, poor elbow development, eye disease",working,medium,4,2,4,Yes
Entrebuhe Mountain Dog,Entlebucher Mountain Dog,"The smallest mountain dog in Switzerland, with a short coat and a smart and lively personality.",Switzerland,11-15 years,20-30Kg,42-52cm,"Smart, lively, loyal","1. 2 hours of exercise per day; 2-Brush the coat once a week. 3 Early socialization, adaptation to the family","hip dysplasia, cataracts, thyroid disease",working,medium,4,2,4,Yes
Swiss Mountain Dog,Greater Swiss Mountain Dog,"The largest mountain dog in Switzerland, with a large body, short fur, and a gentle and steady personality.",Switzerland,8-11 years,50-70Kg,60-74cm,"Docile, steady, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat once a week. 3 Control weight and reduce joint pressure,"Poor hip joint development, poor elbow development, gastric torsion",working,large,3,2,3,Yes
Newfoundland Dog (Black),Newfoundland,"Canadian large water dog, with thick black fur, good at swimming rescue, and gentle personality.",Canada,8-Ten years,45-68Kg,66-71cm,"Docile, loyal, family","1. 2 hours of exercise daily, including swimming; 2-Brush the thick coat three times a week. 3 Regularly clean the ear canal to prevent infection","Poor hip development, poor elbow development, heart disease",working,large,3,4,4,Yes
Newfoundland dog (brown),Newfoundland (Brown),The brown fur variant has a similar personality to the black variant and is more unique.,Canada,8-Ten years,45-68Kg,66-71cm,"Docile, loyal, brave",1. 2 hours of exercise per day; 2-Brush the coat three times a week. 3 Avoid high temperatures and prevent heatstroke,"Poor hip development, poor elbow development, skin problems",working,large,3,4,4,Yes
Lansier dog,Landseer,"The Newfoundland dog is a black and white variant, with a black and white coat and a gentle and friendly personality.",Canada,8-Ten years,45-68Kg,66-71cm,"Docile, family, loyal","1. 2 hours of exercise per day, suitable for swimming; 2-Brush the coat three times a week. 3 Check the heart regularly to prevent diseases","hip dysplasia, heart disease, elbow dysplasia",working,large,3,4,4,Yes
Portuguese Water Dog (Black),Portuguese Water Dog,"Portuguese water dog, black curly fur, good at water work, lively and intelligent personality.",Portugal,10-14 years,16-27Kg,43-58cm,"Lively, smart, loyal","1. 2 hours of exercise per day, including swimming; 2 Regularly trim the curly hair; 3 Pay attention to intellectual training to prevent boredom","hip dysplasia, cataracts, thyroid disease",working,medium,4,3,5,Yes
Portuguese Water Dog (White),Portuguese Water Dog (White),The white fur variant has a similar personality to the black variant and is more elegant.,Portugal,10-14 years,16-27Kg,43-58cm,"Graceful, smart, lively",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Clean the skin regularly to prevent infection,"hip dysplasia, skin allergies, eye diseases",working,medium,4,3,5,Yes
Standard Schnauzer,Standard Schnauzer,"German medium-sized terrier, with coarse and hard fur, intelligent and alert personality, is an excellent guard dog.",Germany,12-15 years,14-20Kg,45-50cm,"Smart, vigilant, loyal",1. 1.5 hours of exercise per day; 2-Brush the coarse and hard coat twice a week and pluck it regularly. 3 Early socialization to avoid aggression,"hip dysplasia, cataracts, skin problems",terrier,medium,4,3,4,Yes
Giant Schnauzer,Giant Schnauzer,"German large terriers have a large body size, coarse and hard fur, and a brave and loyal personality. They are excellent working dogs.",Germany,10-12 years,25-45Kg,60-70cm,"Courage, loyalty, obedience",1. 2.5 hours of exercise per day; 2-Brush the coat twice a week and trim it regularly. 3 Strict training to establish obedience,"hip dysplasia, elbow dysplasia, thyroid disease",working,large,4,3,5,No
Mini Schnauzer (Salt and Pepper),Miniature Schnauzer (Salt & Pepper),"The most common variant of the mini Schnauzer, with salt and pepper-colored fur, has a lively and friendly personality.",Germany,12-15 years,4-8Kg,30-36cm,"Lively, family, smart",1. 1 hour of exercise per day; 2-Brush the coat twice a week and pluck it regularly. 3 Regularly clean the ear canal to prevent infection,"Pancreatitis, cataracts, skin allergies",terrier,small,4,2,3,Yes
Mini Schnauzer (Black),Miniature Schnauzer (Black),"The black fur variant has a similar personality to the salt and pepper variant, appearing more stable.",Germany,12-15 years,4-8Kg,30-36cm,"Steady, loyal, lively",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3. Eat a light diet to prevent pancreatitis,"Pancreatitis, eye diseases, skin problems",terrier,small,4,2,3,Yes
Mini Schnauzer (Silver Black),Miniature Schnauzer (Black & Silver),"Black and silver fur variant, lively and agile personality, suitable for family breeding.",Germany,12-15 years,4-8Kg,30-36cm,"Smart, lively, loyal",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Regular brushing to prevent periodontal disease,"Pancreatitis, cataracts, dental problems",terrier,small,4,2,3,Yes
Universal stem,Airedale Terrier,"The largest breed of terrier, with coarse and hard fur, and a brave and intelligent personality, is a versatile working dog.",United Kingdom,10-13 years,20-29Kg,56-61cm,"Brave, smart, loyal",1. 2 hours of exercise per day; 2-Brush the coarse and hard coat twice a week. 3 Strict training to avoid stubbornness,"hip dysplasia, cataracts, skin allergies",terrier,large,4,3,4,Yes
Lake-side stem,Lakeland Terrier,"The United Kingdom terrier is small in size, with coarse and hard fur, and a lively and brave personality.",United Kingdom,12-16 years,7-8Kg,33-38cm,"Brave, lively, quick",1. 1.5 hours of exercise per day; 2-Brush the coat twice a week and pluck it regularly. 3 Correcting the mining out instinct,"Patellar dislocation, cataracts, skin allergies",terrier,small,4,3,4,Yes
Welsh terrier,Welsh Terrier,"The Welsh Terrier has a rough and hard coat, black-brown color scheme, and a lively and intelligent personality.",United Kingdom,12-15 years,9-10Kg,36-39cm,"Lively, smart, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat twice a week. 3 Focus on social training and avoid being timid,"Patellar dislocation, cataract, thyroid disease",terrier,small,4,3,4,Yes
Irish terrier,Irish Terrier,"Irish terrier, with a rough red coat and a brave and lively personality.",Ireland,12-16 years,11-12Kg,45-50cm,"Brave, lively, loyal","1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Early socialization, adaptation to the family","hip dysplasia, cataracts, skin allergies",terrier,medium,4,3,4,Yes
soft-haired wheat stem,Soft Coated Wheaten Terrier,"Irish terriers, with soft fur and a gentle personality, are suitable for family raising.",Ireland,12-15 years,13-16Kg,43-48cm,"Docile, family, smart",1. 1.5 hours of exercise per day; 2-Brush the soft hair three times a week to prevent knotting. 3 Regularly check the skin to prevent allergies,"Skin allergies, cataracts, kidney diseases",terrier,medium,4,3,3,Yes
Kelly Blue Terrier,Kerry Blue Terrier,"Irish terrier, blue fur, intelligent and loyal, is a versatile working dog.",Ireland,12-15 years,15-18Kg,45-50cm,"Smart, loyal, lively",1. 2 hours of exercise per day; 2-Brush the coat twice a week. 3 Pay attention to intellectual training to prevent boredom,"hip dysplasia, cataracts, thyroid disease",terrier,medium,4,3,4,Yes
Bellington terrier,Bedlington Terrier,"The United Kingdom terrier looks like a lamb, with soft fur and a lively and intelligent personality.",United Kingdom,11-16 years,8-10Kg,38-44cm,"Lively, smart, loyal",1. 1.5 hours of exercise per day; 2-Brush soft fur three times a week. 3. Regularly trim hair to maintain shape,"Copper poisoning, cataracts, kidney disease",terrier,small,4,3,3,Yes
Dandy Dingmon,Dandie Dinmont Terrier,"Scottish terriers have a unique appearance, soft fur, and a gentle and independent personality.",Scotland,12-15 years,8-11Kg,20-28cm,"independent, docile, brave",1. 1 hour of exercise per day; 2-Brush the coat three times a week. 3 Regularly check the spine to prevent injury,"disc herniation, patellar dislocation, eye disease",terrier,small,3,4,3,Yes
the Norwich Stalker,Norwich Terrier,"The United Kingdom terrier is small in size, with upright ears and a lively and brave personality.",United Kingdom,12-16 years,5-6Kg,24-26cm,"Lively, brave, loyal",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Avoid conflicts with large dogs,"Patellar dislocation, cataracts, skin allergies",terrier,small,4,3,3,Yes
Norfolk terrier,Norfolk Terrier,"The Norwich terrier is a close relative, with drooping ears and a more gentle personality, suitable for family breeding.",United Kingdom,12-16 years,5-6Kg,24-26cm,"Docile, lively, family",1. 1 hour of exercise per day; 2-Brush the coat twice a week. 3 Clean your ears regularly to prevent infection,"Patellar dislocation, ear infection, eye disease",terrier,small,4,3,3,Yes
border block,Border Terrier,"The United Kingdom terrier is small in size, with coarse and hard fur, and a lively and intelligent personality.",United Kingdom,12-15 years,5-7Kg,30-40cm,"Lively, smart, loyal",1. 1.5 hours of exercise per day; 2-Brush the coat twice a week. 3 Correcting mining out behavior,"Patellar dislocation, cataracts, skin allergies",terrier,small,4,3,4,Yes
Hunting fox terrier (haired),Wire Fox Terrier,"United Kingdom terrier, stiff-haired, lively and brave, good at fox hunting.",United Kingdom,12-15 years,7-8Kg,36-40cm,"Lively, brave, smart",1. 2 hours of exercise per day; 2-Brush the bristles twice a week and pluck them regularly. 3 .Strict training to avoid excessive barking,"hip dysplasia, cataracts, skin allergies",terrier,small,4,3,4,Yes
Fox hunting (short hair),Smooth Fox Terrier,Short-haired variants have a similar personality to stiff-haired variants and are easier to care for.,United Kingdom,12-15 years,7-8Kg,36-40cm,"Lively, brave, loyal","1. 2 hours of exercise per day; 2-Brush short hair once a week. 3 Early socialization, adaptation to the family","hip dysplasia, cataracts, thyroid disease",terrier,small,4,2,4,Yes
Jack Russell terrier (short hair),Jack Russell Terrier (Smooth),"Short-haired Jack Russell, lively and active personality, extremely energetic.",United Kingdom,13-16 years,5-8Kg,25-38cm,"Lively, active, smart",1. 3 hours of high-intensity exercise per day; 2-Brush short hair once a week. 3. Provide intellectual toys to prevent home dismantling,"Patellar dislocation, cataracts, skin allergies",terrier,small,5,2,5,Yes
Jack Russell terrier (haired),Jack Russell Terrier (Wire),"The bristled variant has a similar character to the short-haired variant, but the fur is thicker and harder.",United Kingdom,13-16 years,5-8Kg,25-38cm,"Lively, brave, loyal","1. 3 hours of exercise per day; 2 .Broom the bristles twice a week; 3 Strict training, standard behavior","Patellar dislocation, cataracts, skin problems",terrier,small,5,3,5,Yes
Parson Russell's,Parson Russell Terrier,"Jack Russell's improved variety, slightly larger in size, and more stable in character.",United Kingdom,12-15 years,6-8Kg,30-36cm,"Steady, lively, smart","1. 2.5 hours of exercise per day; 2-Brush the coat 1-2 times a week. 3 Early socialization, adaptation to the family","hip dysplasia, cataracts, skin allergies",terrier,small,5,2,4,Yes
Russell's stem,Russell Terrier,"The smallest Russell stem variety, small in size, lively and friendly in character.",United Kingdom,12-16 years,4-6Kg,20-28cm,"Lively, family, smart",1. 1.5 hours of exercise per day; 2-Brush the coat once a week. 3 Avoid high-altitude jumps and protect your joints,"Patellar dislocation, cataract, hypoglycemia",terrier,small,4,2,3,Yes
Staffordshire Bull Terrier,Staffordshire Bull Terrier,"The United Kingdom terrier, medium-sized, short-haired, and gentle, is known as the ""nanny dog.""",United Kingdom,12-14 years,11-17Kg,36-41cm,"Meek, family, brave",1. 2 hours of exercise per day; 2-Brush short hair once a week. 3 Early socialization to avoid misconceptions about aggression,"hip dysplasia, cataracts, skin allergies",terrier,medium,4,2,4,Yes
United States Staffordshire Terrier,American Staffordshire Terrier,The American-bred Staffordshire terrier has a thicker body and a more lively personality.,United States,12-16 years,18-32Kg,43-48cm,"Lively, loyal, brave","1. 2.5 hours of exercise per day; 2-Brush short hair once a week. 3 Strict training, standard behavior","hip dysplasia, cataracts, thyroid disease",terrier,medium,4,2,4,Yes
American Bull Fighter,American Pit Bull Terrier,"American terrier, medium-sized, short-haired, loyal and brave, often misunderstood as fierce.",United States,12-16 years,14-36Kg,43-53cm,"Loyalty, bravery, family","1. 3 hours of exercise per day; 2-Brush short hair once a week. 3 Early socialization, correct guidance","hip dysplasia, cataracts, skin allergies",terrier,medium,4,2,5,Yes
The Boston Terrier,Boston Terrier,"American terriers, black and white, have a lively personality and are known as ""American gentlemen"".",United States,11-13 years,4-11Kg,30-43cm,"Lively, family, smart","1. Exercise for 1 hour every day, avoid strenuous exercise; 2-Brush short hair once a week. 3 Pay attention to heat dissipation and prevent heatstroke","Short nose syndrome, patellar dislocation, eye disease",NON-sporting,small,4,2,2,Yes
French Bulldog (blue),French Bulldog (Blue),"A rare variant of the Fadou, with a blue coat and a gentle and clingy personality.",France,10-12 years,8-14Kg,27-35cm,"Docile, clingy, quiet",1. 30 minutes of light exercise per day; 2-Brush short hair once a week. 3 Regularly clean skin folds,"Short nose syndrome, skin infection, hip dysplasia",NON-sporting,small,3,2,2,Yes
French Bulldog (striped),French Bulldog (Pied),"The flower-striped fur variant has a lively and friendly personality, and is the most popular variant of the French fighting.",France,10-12 years,8-14Kg,27-35cm,"Lively, family, docile",1. Avoid high-temperature environments to prevent heatstroke; 2 Regularly clean facial wrinkles; 3 Control diet to prevent obesity,"Short nose syndrome, eye disease, heart problems",NON-sporting,small,3,2,2,Yes
British Bulldog (tiger spot),English Bulldog (Brindle),"The tiger is covered with a hairy, stable and loyal personality, suitable for family breeding.",United Kingdom,8-Ten years,18-25Kg,31-40cm,"Stable, loyal, docile",1. 30-minute walk every day; 2-Brush short hair once a week. 3 Regularly clean skin folds,"Short nose syndrome, hip dysplasia, skin infection",NON-sporting,medium,2,2,2,Yes
British Bulldog (white),English Bulldog (White),"The white fur variant has a similar personality to the tiger-spotted variant, making it more elegant.",United Kingdom,8-Ten years,18-25Kg,31-40cm,"Graceful, gentle, loyal",1. Avoid vigorous exercise to prevent hypoxia; 2-Regular eye check-ups to prevent diseases; 3 Keep warm in winter and prevent heat in summer,"Short nose syndrome, deafness, skin problems",NON-sporting,medium,2,2,2,Yes
Pugs (Black),Pug (Black),"The Pug is a black variant, with a gentle and clingy personality and many facial wrinkles.",China,12-15 years,6-8Kg,25-28cm,"Docile, clingy, lively",1. 30 minutes of light exercise per day; 2. Cleans facial wrinkles daily; 3 Control weight and prevent obesity,"Short nose syndrome, skin infection, eye disease",toy,small,3,2,2,Yes
